name,address,city,telephone1,url,fax,telephone2
Jimy Mac's Liquor Store,19935 96 Ave, Langley,604 888-9463,nil,nil,nil,
The John B Neighbourhood Pub,1000 Austin, Coquitlam,604 931-2337,nil,nil,nil,
Kensington Square Wines,6626 Hastings, Burnaby,604 294-9573,nil,nil,
The Landing Pub & Liquor Store,5455 48A Ave, Ladner,604 946-2038,nil,nil,nil,
Liquor Barn,12050 96 Ave, Surrey,604 584-7360,nil,nil,nil,
Lougheed Liquor Store,2A-19040 Lougheed Hwy, Pitt Meadows,604 465-0060,nil,nil,nil,
Malone's Garden City Liquor Store,400-9100 Blundell, Richmond,604 270-3222,nil,nil,nil,
Marine Liquor Store,5820 Marine Dr, Burnaby,604 436-2337,nil,nil,nil,
Pacific Spirits Wine Cellar,4474 Dunbar St, Vancouver,604 738-1299,nil,604 738-1279,nil,
Pemberton Station,135 Pemberton Ave, North Vancouver,604 984-0731,nil,nil,nil,
Pioneer's Pub,200-10111 No.3 Rd, Richmond,604 271-6611,nil,nil,nil,
Pitt Meadows Beer & Wine Store,19267 Lougheed Hwy, Pitt Meadows,604 460-1607,nil,604 460-1647,nil,
Queens Cold Beer Liquor & Wine Store,1110 Ewen Ave, New Westminster,604 521-4949,nil,nil,nil,
Queens Cross Liquor Store,2989 Lonsdale Ave, North Vancouver,604 988-0057,nil,nil,nil,
Queensborough Landing Liquor Store,1140-805 Boyd, New Westminster,604 521-3733,nil,nil,nil,
Robin Hood Pub & Beer & Wine Store,13466 72 Ave, Surrey,604 594-6265,nil,nil,nil,
Sailor Hagar's Brew Pub,221 1st St W, North Vancouver,604 984-2337,nil,nil,nil,
St Regis Fine Wines & Spirits,30-678 Dunsmuir, Vancouver,604 662-3177,nil,nil,nil,
Samz Liquor  Store,19580 56 Ave, Surrey,604 533-6639,nil,nil,nil,
Shark Club Bar & Grill Wine & Beer Store,20169 88 Ave, Langley,604 513-8700,nil,nil,nil,
Sip Wine,1030-11660 Steveston Hwy, Richmond,604 271-9463,nil,nil,nil,
16th Street Liquor Store,220 16th St, West Vancouver,604 926-1339,nil,nil,nil,
Speed's Liquor Store,114-4857 Elliott St, Ladner,604 940-6463,nil,nil,nil,
Spirit of Howe Street,1275 Granville, Vancouver,604 682-2586,nil,604 633-5075,nil,
Spirits Of Mt Seymour Cold Seer Wine Liquor,120-1133 Mount Seymour Rd, North Vancouver,604 983-3040,nil,nil,nil,
Sunshine Hills Liquor Store,6439 120 St, Delta,604 596-8787,nil,nil,nil,
Swirl Wine Store ,13977 16 Ave, Surrey,604 531-0038,nil,nil,nil,
Tugboat Annie'S Beor & Wine Store,2175-21000 Westminster Hwy, Richmond,604 284-5077,nil,604 284-5078,nil,
Village VQA Wines,3536 W 41st Ave, Vancouver,604 269-9433,nil,nil,nil,
Village VQA Wines,1811 W 1st Ave, Vancouver,604 732-8827,nil,nil,nil,
Wheelhouse Liquor Store,12911 96 Ave, Surrey,604 588-5162,nil,nil,nil,
Witch Of Endor Liquor Store,22644 Dewdney Trunk, Maple Ridge,604 476-9463,nil,nil,nil,
Angel Cake Shop,5991 Fraser St, Vancouver,604 322-8948,nil,nil,nil,
Anna's Cake House,606 E Broadway, Vancouver,604 876-6532,www.annascake.com,604 876-2662,nil,
Anpan Cake House Enterprise,33M Park Royal S, West Vancouver,604 921-1678,nil,nil,nil,
Bella Cakes & Pastries,459 Columbia E, New Westminster,604 777-2524,nil,nil,nil,
BJ Bakery & Deli,7604 Royal Oak, Burnaby,604 433-7706,nil,nil,nil,
Bon Bon Bakery,5807 Victoria Dr, Vancouver,604 325-3612,nil,604 325-4050,nil,
Bon Ton Pastry & Confectionery,3150 W Broadway, Vancouver,604 681-3058,nil,nil,nil,
Breka Bakery & Cafe,6533 Fraser St, Vancouver,604 325-6612,nil,nil,nil,
Cashmere & Cupcakes,21594 48 Ave, Langley,604 530-1107,nil,nil,nil,
Clever Cupcakes,109-2985 Northern Ave, Coquitlam,604 942-2872,nil,nil,nil,
Culinary Cakes,1545 W 3rd Ave, Vancouver,604 875-0123,www.culinarycakes.com,nil,nil,
D&M Cakes To Go,2695 Commissioner St, Vancouver,604 261-9685,nil,nil,nil,
Ganache Patisserie,1262 Homer St, Vancouver,604 899-1098,nil,nil,nil,
Goldilocks Bake Shop,1606 W Broadway,604 736-7744, Vancouver,nil,604 736-7557,604 736-2464,
Goldilocks Bake Shop,2833 Main St, Vancouver,604 876-2464,nil,604 876-2495,
Michele Cake Shop,6033 West Boulevard, Vancouver,604 261-3284,nil,nil,nil,
Patisserie Bordeaux,3675 W 10th, Vancouver,604 731-6551,nil,nil,nil,
St Germain Bakery,140-650 W 41st Ave, Vancouver,604 267-0807,nil,nil,604 438-8182,
The Sweet Spot Bakery,110-12000 1st Ave, Richmond,604 271-8865,nil,nil,nil,
The Sweet Tooth Cakery,2055 Old Dollarton Rd, North Vancouver,604 971-5223,nil,nil,nil,
True Confections,866 Denman St, Vancouver,604 682-1292,nil,nil,nil,
True Confections,3701 W Broadway, Vancouver,604 222-8489,nil,nil,nil,
Valley Bakery,4058 Hastings, Burnaby,604 291-0674,nil,nil,nil,
Your Dessert,2103-8700 McKim Way, Richmond,604 214-9938,nil,nil,nil,The Candy Aisle,2083 W 4th Ave, Vancouver,604 739-3330,nil,nil,nil,
The Candy Aisle,635 Robson, Vancouver,604 669-7898,nil,nil,nil,
Candy Dish,120-3911 Moncton St, Richmond,604 277-6866,nil,nil,nil,
Candyland Enterprises,1631-4500 Kingsway, Burnaby,604 436-2022,nil,nil,nil,
Charlie's Chocolate Factory,2-1770 Mclean, Port Coquitlam,604 941-3811,nil,nil,nil,
Daniel Le Chocolat Belge,4447 W 10th, Vancouver,604 224-3361,nil,nil,nil,
Daniel Le Chocolat Belge,2820 Granville, Vancouver,604 733-1994,nil,nil,nil,
Ellie's Candy Store,1931 Lonsdale Ave, North Vancouver,604987-1931,nil,nil,nil,
Everybody Loves Candy Shoppe,23295 Mavis, Langley,604 888-6609,nil,nil,nil,
Frankie's Candy Bar,5305 West Boulevard, Vancouver,604 568-3107,nil,nil,nil,
Gramma's Treats & Sweets,2228 McAllister, Port Coquitlam,604 944-1815,nil,nil,nil,
Jubliee Smoke & Things,435 Hornby St, Vancouver,604 681-5046,nil,nil,nil,
Lucky Shop 101,6138 Sub Blvd, Vancouver,604 221-7467,nil,nil,nil,
Olde World Fudge Co,123 Carrie Cates Crt, North Vancouver,604 980-8336,nil,nil,nil,
Steve's Board Shop,150-12240 2nd Ave, Richmond,778 297-7422,nil,nil,nil,
Sugar & Co Candy Shop,159-1233 Lynn Valley, North Vancouver,604 971-5331,nil,nil,nil,
Sweet Escape Candy Boutique,15244 Russell Ave, White Rock,778 294-2004,nil,nil,nil,
Sweet Factory,210-4700 Kingsway, Burnaby,604 430-9730,nil,nil,nil,
Sweet Factory,210-4700 Kingsway, Burnaby,604 638-1392,nil,nil,nil,
Sweet Factory,2260 Guildford Town Ctr, Surrey,604 582-0525,nil,nil,nil,
Grand Villa Casinos,4331 Dominion, Burnaby,604 436-2211,nil,nil,nil,
Great Canadian Gaming Corp,13775 Commerce Pky, Richmond,604 303-1000,nil,nil,nil,
Boulevard Casino,2080 United Blvd, Coquitlam,604 523-6888,nil,nil,604 279-8505,nil,
River Rock Casino Resort,8811 River Rd, Richmond,604 273-1895,nil,nil,nil,
Starlight Casino,350 Gifford St, New Westminster,604 777-2946,nil,nil,nil,
Caesars Entertairvnent,300-1120 Hamilton St, Vancouver,604 568-9288,nil,nil,nil,
Cascades Casino,20393 Fraser Hwy, Langley,604 530-2211,nil,nil,nil,
Edgewater Casino,311-750 Pacific Blvd,604 687-3343,nil,nil,nil,
Fraser Downs Racetrack & Casino,17755 60 Ave, Surrey,604 576-9141,nil,nil,nil,
The American Cheesesteak Co,300-515 W Pender St, Vancouver,604 682-8626,nil,nil,nil,
Benton Bros Fine Cheese,2104 W 41st Ave, Vancouver,604 261 5813,nil,604 261-5804,nil,
Benton Bros Fine Cheese,225-1689 Johnston, Vancouver,604 609-0001,nil,nil,nil,
Benton Bros Fine Cheese,3432 Cambie, Vancouver,604 873-9439,nil,nil,nil,
Cheese Place,267-2083 Alma, Vancouver,604 222-1911,nil,nil,nil,
Flamingo Foods,7865 Venture, Burnaby,604 420-9892,nil,604 420-8172,604 420-8171,
Golden Ears CheeseWorks,22270 128 Ave, Maple Ridge,604 467-0004,nil,604 467-0091,nil,
Keso-A Cheese Speciality Shop,100-2982 152 St, Surrey,778 294-0775,nil,nil,nil,
Les Amis Du Fromage,1752 W 2nd Ave, Vancouver,604 732-4211,nil,nil,nil,
Best Dim Sum Co,211-2800 E 1st Ave, Vancouver,604 677-5031,nil,nil,nil,
Big Lai Palace Restaurant,4519 Kingsway, Burnaby,604 434-1668,nil,nil,nil,
Burnaby Palace Restaurant,3110 Boundary, Burnaby,604 437-1818,nil,nil,nil,
Danny's Wun Tun Restaurant,11666 Steveston Hwy, Richmond,604 277-317,nil,604 270-2927,nil,
Dragon Palace Seafood Restaurant,116-8850 Walnut Grove, Langley,604 882-1687,nil,nil,nil,
Fine Choice Foods,23111 Fraserwood Way, Richmond,604 522-3110,nil,nil,nil,
Foo's Ho Ho Restaurant,102 E Pender St, Vancouver,604 609-2889,nil,nil,nil,
Fortune Court Seafood Restaurant,3555 E Hastings, Vancouver,604 298-2468,nil,nil,nil,
Fortune Wok,13F Park Royal S, West Vancouver,604 925-0773,nil,nil,nil,
Fortune Wok,1025-5300 No. 3 Rd, Richmond,604 278-6822,nil,nil,nil,
Ginger & Soy Chinese Cuisine,1487 Marine Dr, West Vancouver,778 279-8862,nil,nil,nil,
Gourmet Chinese Restaurant,350-221 Ioco Rd, Port Moody,604 461-3014,nil,nil,nil,
Happy Valley Chinese Kitchen,821 12 St, New Westminster,604 606-3333,nil,nil,nil,
Hh Dim Sum King,854 E Cordova St, Vancouver,604 251-5885,nil,nil,nil,
Hopewell Chinese Kitchen,213-2800 E 1st Ave, Vancouver,604 251-3386,nil,nil,nil,
Hot Delivery Chinese Food,3002 Cambie St, Vancouver,604 879-5292,www.hotdelivery.ca,nil,nil,
Imperial Chinese Restaurant,355 Burrard St, Vancouver,604 688-8191,nil,nil,nil,
J's Wok Restaurant,1052 Austin Ave, Coquitlam,604 937-3611,nil,nil,nil,
Joy Chinese Dinsum Co,110A-3993 Henning, Burnaby,604 874-2371,nil,nil,nil,
Kent's Kitchen,232 Keefer, Vancouver,604 669-2237,nil,nil,nil,
Ming Fong Fast Food,110-180 Keefer St, Vancouver,604 687-8223,nil,nil,nil,
Ming & Sing Chinese Express,106-18640 Fraser Hwy, Surrey,604 574-0900,nil,nil,nil,
Mr B's Corner Store & Deli,1-1020 Austin, Coquitlam,604 931-6878,nil,nil,nil,
Mui Garden Restaurant,5797 Victoria Dr, Vancouver,604 324-3665,nil,nil,nil,
New Sun Restaurant,2925 Cambie St, Vancouver,604 876-1277,nil,nil,nil,
On On Wonton House,5640 Kingsway, Burnaby,604 437-4000,nil,nil,604 434 1862,
Royal City Thai International,634 Columbia St, New Westminster,604 522-1281,nil,nil,nil,
Simon's Kitchen,4418 Dunbar St, Vancouver,604 734-1135,nil,nil,nil,
Sky Dragon Restaurant,Dr 1538 Prairie, Port Coquitlam,604 941-0222,nil,604 941-8857,nil,
Szechuan Chongqing Seafood Restaurant,1668 W Broadway, Vancouver,604 734-1668,nil,604 734-8018,604 734-2668,
Tsim Chai Noodle Restaurant,50-8251 Westminster Hwy, Richmond,604 273-6288,nil,nil,nil,
Umeda Japanese Cuisine,1157 Granville, Vancouver,604 687-0038,nil,604 681-0009,
Victoria Chinese Restaurant,260-1055 Georgia St W, Vancouver,604 669-8383,nil,nil,nil,
Wing Ho Chinese Restaurant,1455 Main St, North Vancouver,604 988-2398,nil,nil,nil,
Wong Kee Wonton House Restaurant,105 E Broadway, Vancouver,604 873-1711,nil,nil,nil,Candy Kitchen,142-1689 Johnston St, Vancouver,604 681-7001,nil,nil,nil,
Rene Rey Swiss Chocolates,1119 W 14th, North Vancouver,604 985-0949,nil,nil,nil,
Charlie's Chocolate Factory,3746 Canada Way, Burnaby,604 437-8221,nil,nil,nil,
Chocolate Arts,1620 W 3rd Ave, Vancouver,604 739-0475,nil,nil,nil,
The Chocolate Bear Shoppe,1263 56 St, Tsawwassen,604 943-7535,nil,nil,nil,
Chocolate Cottage,21488 Old Yale Rd, Langley,604 533-7611,nil,nil,nil,
Chocolate Works,85 Schooner St, Coquitlam,604 540-1400,nil,nil,nil,
Chocolaterie Bernard Callebaut,188-8120 No. 2 Rd, Richmond,604 275-1244,nil,nil,nil,
Chocolaterie Bernard Callebaut,240-15355 24 Ave, Surrey,604 531-6777,nil,nil,nil,
Cinnamon's Chocolates,119 2nd St E, North Vancouver,604 984-3390,nil,nil,nil,
Cocoanymph Chocolates,3739 W 1Oth Ave, Vancouver,604 222-4477,nil,nil,nil,
Daniel Le Chocolat Belge,1105 Robson St, Vancouver,604 688-9624,www.danielchocolates.com,nil,nil,
Daniel Le Chocolat Belge,2820 Granville St, Vancouver,604 733-1994,www.danielchocolates.com,nil,nil,
Daniel Le Chocolat Belge,812-805 Park Royal North, West Vancouver,604 925-2213,www.danielchocolates.com,nil,nil,
Daniel Le Chocolat Belge,4447 W 10th Ave, Vancouver,604 224-3361,www.danielchocolates.com,nil,nil,
Daniel Le Chocolat Belge,450-19705 Fraser Hwy, Langley,604 530-7786,www.danielchocolates.com,nil,nil,
Dutch Girl Chocolates,1002 Commercial Dr, Vancouver,604 251-3221,nil,nil,
Euphoria Chocolates,7-9103 Glover Rd, Langley,604 888-9506,nil,nil,
Foley's Candies,12671 No. 5 Rd, Richmond,604 274-2131,nil,nil,
Godiva Chocolatier,409-650 W 41st Ave, Vancouver,604 267-6057,nil,nil,
Godiva Chocolatier,2111-470 Kingsway, Burnaby,604 433-3005,nil,nil,
Godiva Chocolatier,1810-6551 No.3 Rd, Richmond,604 233-1105,nil,nil,
House Of Brussels Chocolates,708-750 Terminal, Vancouver,604 713-8063,nil,604 687-0142,nil,
JS Chocolate Molds,2-1770 Mclean, Port Coquitlam,604 944-1960,nil,nil,nil,
Lindt & Sprungli Canada,1210-650 W Georgia St,604 687-6590,nil,nil,nil,
Mink A Chocolate Cafe,863 W Hastings St, Vancouver,604 633-2451,nil,nil,nil,
Rocky Mountain Chocolate,734-9855 Austin, Burnaby,604 420-0188,nil,nil,nil,
Rocky Mountain Chocolate,3155 Edgemont Blvd, North Vancouver,604 987-3611,nil,nil,nil,
Rocky Mountain Chocolate,866 Park Royal N, West Vancouver,604 922-0100,nil,nil,nil,
Rocky Mountain Chocolate Factory,1017 Robson St, Vancouver,604 688-4100,nil,nil,nil,
Rocky Mountain Chocolate Factory,19-1 Ferry Causeway, Tsawwassen,604 943-0004,nil,nil,nil,
Rocky Mountain Chocolate Factory,5284 Still Creek Ave, Burnaby,604 293-1600,nil,nil,nil,
Rocky Mountain Chocolate Factory Metrown,304-4820 Kingsway, Burnaby,604 568-5878,nil,nil,nil,
Rogers Chocolates,C6-900 Main St, West Vancouver,778 279-2462,nil,nil,nil,
Rogers Chocolates,1571 Johnston St, Vancouver,604 681-1334,nil,nil,nil,
Rubens Chocolate,146 Brew, Port Moody,604 469-2468,nil,nil,nil,
Thierry,1059 Alberni St, Vancouver,604 608-6870,nil,04 608-6877,nil,
Thomas Haas Patisserie,128-998 Harbourside Dr, North Vancouver,604 924-1847,nil,nil,nil,
Thomas Haas Patisserie,2539 W Broadway, Vancouver,604 736-1848,nil,nil,nil,
TK Chocolate Co,160-7971 Alderbndge Way, Richmond,604 214-6607,nil,nil,nil,
O Young Enterprizes,120-13040 No. 2 Rd, Richmond,604 241-8568,nil,nil,nil,
Purdy's Chocolates,8330 Chester, Vancouver,604 454-2777,nil,nil,nil,
Purdy's Chocolates,105-4255 Arbutus St,604 738-3013,nil,nil,nil,
Purdy's Chocolates,595 Burrard St, Vancouver,604 681-6428,nil,nil,nil,
Purdy's Chocolates,205-4567 Lougheed Hwy, Burnaby,604 299-9207,nil,nil,nil,
Purdy's Chocolates,19A-935 Marine, North Vancouver,604 985-4059,nil,nil,nil,
Purdy's Chocolates,1228-2929 Barnet Hwy, Coquitlam,604 464-7016,nil,nil,nil,
Purdy's Chocolates,2705 Granville, Vancouver,604 732-7003,nil,nil,nil,
Purdy's Chocolates,2513 Guildford Town Ctr, Surrey,604 581-3156,nil,nil,nil,
Purdy's Chocolates,35-11900 Haney Pl, Maple Ridge,604 467-8528,nil,nil,nil,
Purdy's Chocolates,2189 W 41st, Vancouver,604 266-9311,nil,nil,nil,
Purdy's Chocolates,2196 W 4th Ave, Vancouver,604 730-8669,nil,nil,nil,
Purdy's Chocolates,5300 No. 3 Rd, Richmond,604 270-3436,nil,nil,nil,
Purdy's Chocolates,9855 Austin, Burnaby,604 420-8092,nil,nil,nil,
Purdy's Chocolates,1199 Lynn Valley, North Vancouver,604 988-8395,nil,nil,nil,
Purdy's Chocolates,1131A-4700 Kingsway, Burnaby,604 433-3727,nil,nil,nil,
Purdy's Chocolates,183-650 W 41st Ave, Vancouver,604 261-2893,nil,nil,nil,
Purdy's Chocolates,59D-700 W Georgia St, Vancouver,604 683-3467,nil,nil,nil,
Purdy's Chocolates,938 Park Royal S, West Vancouver,604 922-5416,nil,nil,nil,
Purdy's Chocolates,127-6060 Minoru Blvd, Richmond,604 273-8215,nil,nil,nil,
Purdy's Chocolates,112-610 6th St, New Westminster,604 777-4484,nil,nil,nil,
Purdy's Chocolatese,106-1711 152 St, Surrey,604 536-1101,nil,nil,nil,
Purdy's Chocolates,134-19705 Fraser Hwy, Langley,604 530-2285,nil,nil,nil,
Bernard Callebaut Chocolaterie,240-15355 24 Ave, White Rock,604 531-6777,nil,nil,nil,
Bernard Callebaut Chocolaterie,188-8120 No. 2 Rd, Richmond,604 275-1244,nil,nil,nil,
Beta5 Chocolates,413 Industrial, Vancouver,604 669-3336,nil,nil,nil,
Brockmann Chocolate,7863 Progress Way, Ladner,604 946-4111,nil,nil,nil,
Cafe Taza,1-355 Burrard, Vancouver,604 662-7041,nil,nil,nil,
Cafe Trafiq,1860 Marine, West Vancouver,604 925-2503,nil,nil,nil,
Caffe Artigiano,1101 W Pender St, Vancouver,604 685-5333,nil,nil,nil,
Caffe Artigiano,740 W Hastings St, Vancouver,604 915-7200,nil,nil,nil,
Caffe Artigiano,763 Hornby St, Vancouver,604 694-7737,nil,nil,nil,
Caffe Artigiano,J5-925 Main, West Vancouver,604 913-1400,nil,nil,nil,
Caffe Artigiano,107-930 1st St W, North Vancouver,604 990-0543,nil,nil,nil,
Caffe Artigiano,853 W Broadway, Vancouver,604 875-6966,nil,nil,nil,
Caffe Artigiano,3036 W Broadway, Vancouver,604 734-3134,nil,nil,nil,
Caffe Artigiano,2154 W 41st Ave, Vancouver,604 267-100,nil,nil,nil,
Leisure Tea & Coffee,1110-8391 Alexandra Rd, Richmond,604 821-9998,nil,nil,nil,
Lety's Cantina Coffee Bar,620 12th St, New Westminster,604 516-6031,nil,nil,nil,
Little Bubble Tea House,104-2800 E 1st Ave, Vancouver,604 251-7979,nil,nil,nil,
Agape Coffee,1140-8181 Cambie Rd, Richmond,604 303-6555,nil,nil,nil,
Lookout The Coffee House,6409  Bay St, West Vancouver,604 921-9205,nil,nil,nil,
Basils Coffee,Lwr-296 Pemberton, North Vancouver,604 973-0163,nil,nil,nil,
Mac's Coffee Bar,3292 Production Way, Burnaby,604 420-7938,nil,nil,nil,
Bean Around The World,8099 Granville St, Vancouver,604 568-6053,nil,nil,nil,
Mar Y Tierra,3851 Hastings St, Burnaby,604 294-8505,nil,nil,nil,
Bean Around The World,2121 Marine, West Vancouver,604 925-1553,nil,nil,nil,
Bean Around The World,3598 Main St, Vancouver,604 875-9199,nil,nil,nil,
Caffe Napoli,1670 Commercial Dr, Vancouver,604 253-8224,nil,nil,nil,
McBurney Coffee & Tea House,20504 Fraser Hwy, Langley,604 514-1144,nil,nil,nil,
Bean Around The World,175 W Hastings St, Vancouver,604 681-0035,nil,nil,nil,
Calabria Bar,1745 Commercial Dr, Vancouver,604 253-7017,nil,nil,nil,
Melriches Coffeehouse  ,1244 Davie St, Vancouver,604 689-5282,nil,nil,nil,
Bean Around The World,156-123 Carrie Cates Crt, North Vancouver,604 987-1200,nil,nil,nil,
Bean Around The World Coffee,6502 Main St, Vancouver,604 568-8303,nil,nil,nil,
Cedar Hills Cafe,1-12830 96 Ave, Surrey,604 581-4333,nil,nil,nil,
Chicco Dall Oriente,1504 Robson, Vancouver,604 633-1286,nil,nil,nil,
Bean Around The World Coffee House & Bistro,6308 Thunderbird Blvd, Vancouver,604 568-8893,nil,nil,nil,
City Blends Coffee,1097-10153  King George Blvd, Surrey,604 580-2489,nil,nil,nil,
Milano Boutique Coffee Roasters,36 Powell St, Vancouver,604 558-0999,nil,nil,nil,
Bean Around The World Coffee,1945 Cornwall, Vancouver,604 739-1069,nil,nil,nil,
Classique Coffee Bar,1230  Guildford Town Ctr, Surrey,604 951-7873,nil,nil,nil,
Milky House,1510-4380 No.3 Rd, Richmond,604 270-2622,nil,nil,nil,
Bean Around The World Coffee,4456 W 10th Ave, Vancouver,604 222-1400,nil,nil,nil,
Coffee Lounge at 3436,3436 Broadway W, Vancouver,604 569-2777,nil,nil,nil,
Coffee Waves,495 Main St, Vancouver,604 568-9283,nil,nil,nil,
Cornerstone Cafe & Catering,3003 Burlington, Coquitlam,604 461-7233,nil,nil,nil,
Mocha Room Coffee Bar,301-20300 Fraser Hwy, Langley,604 514-3355,nil,nil,nil,
Moka Coffee House,2655-2695 Guildford Town Ctr, Surrey,778 395-1945,nil,nil,nil,
Murrayville Wired Monk,104-22198 48 Ave, Langley,604 532-1010,nil,nil,nil,
Bean Around The World Coffee,1522 Marine, West Vancouver,604 925-1124,nil,nil,nil,
Bean Around The World Coffee,110-1151 Mount Seymour Rd, North Vancouver,604 990-4942,nil,nil,nil,
Cornerstone Coffee,2698 W 4th Ave, Vancouver,604 714-0259,nil,nil,nil,
Cravings Coffee House,114-4061 200 St, Langley,604 533-5596,nil,nil,nil,
Nicolelina's Cafe,2838 St. Johns St, Port Moody,604 461-1160,nil,nil,nil,
Bean Around The World Coffee,718-2601 Westview Dr, North Vancouver,604 987-7200,nil,nil,nil,
The Beverage Lounge Coffee Shop,5-1022 Kingsway, Vancouver,604 566-9997,nil,nil,nil,
No. 1 Coffee Bar & Billiard,2139 Kingsway, Vancouver,604 434-1588,nil,nil,nil,
Cuppa Joe Coffee,189-175 E Broadway, Vancouver,604 709-4123,nil,nil,nil,
Biega Cafe,150-999 W Hastings St, Vancouver,604 683-5551,nil,nil,nil,
Dahabshill Coffee Shop,13565 105A Ave, Surrey,604 588-1122,nil,nil,nil,
Daily Grind Cafe,102-1500 W Georgia St, Vancouver,604 689-9444,nil,nil,nil,
Oyaji Zusi,1542 W 2nd Ave,604 733-7396,nil,nil,nil,
Parfait-A-Pai,4697 Kingsway, Burnaby,604 436-3877,nil,nil,nil,
Pearl Fever Tea House,340-3025 Lougheed Hwy, Coquitlam,604 552-6997,nil,nil,nil,
Pearl Fever Tea House,658-10330 152 St, Surrey,604 588-2192,nil,nil,nil,
Blends Coffee,4198 Main St, Vancouver,604 879-9553,nil,nil,nil,
Blenz Coffee,2506 Granville, Vancouver,604 732-8874,nil,nil,nil,
Blenz Coffee,807 W Hastings St, Vancouver,604 677-8368,nil,nil,nil,
Darryl's Coffee & Native Art Shop,945 Davie St,604 689-5354,nil,nil,nil,
Pedro's Organic Coffee,60-1550 Anderson, Vancouver,604 899-0741,nil,nil,nil,
Blenz Coffee,508 W Hastings St, Vancouver,604 689-1431,nil,nil,nil,
Dessert Dynasty,149-4800 Kingsway, Burnaby,604 438-8608,nil,nil,nil,
Pegsters Coffee Shop,1115 Lonsdale, North Vancouver,604 984-6646,nil,nil,nil,
Blenz Coffee,3297 Cambie, Vancouver,604 708-8323,nil,nil,nil,
Doux Cafe,1371 Richards St, Vancouver,604 683-8890,nil,nil,nil,
Perkulater Cafe,156 14th St E, North Vancouver,604 984-9980,nil,nil,nil,
Blenz Coffee,999 Granville, Vancouver,604 689-0669,nil,nil,nil,
Blenz Coffee,992 Robson, Vancouver,604 685-7951,nil,nil,nil,
Drink Espresso Bar,6011 Walter Gage Rd, Vancouver,604 558-2190,nil,nil,nil,
Planet Java Fifties Cafe,9178 Glover Rd, Langley,604 882-5057,nil,nil,nil,
Blenz Coffee,1615 Robson St, Vancouver,604 662-5369,nil,nil,nil,
DVD Palace,3223 Kingsway, Vancouver,604 434-4786,nil,nil,nil,
Blenz Coffee,1100 Burrard St, Vancouver,604 602-1869,nil,nil,nil,
East Is East,4413 Main St, Vancouver,604 879-2020,nil,nil,nil,
Edge Cafe,2450 Yukon St, Vancouver,604 876-7228,nil,nil,nil,
Prego Coffee & Deli,101-1625 Hornby St, Vancouver,604 605-3888,nil,nil,nil,
Puccinos Coffee Bar,1014-7495 132 St, Surrey,604 594-2400,nil,nil,nil,
Blenz Coffee,Lby-401 Burrard St, Vancouver,604 684-7000,nil,nil,nil,
